q_1,dq_1,q_2,dq_2,ddq_1,ddq_2,output_1,output_2
0.437440,0.472558,0.170768,0.483471,0.981200,-4.390059,1.143222,0.000000
0.447084,0.491634,0.179556,0.395132,0.920881,-4.430113,0.986169,0.000000
0.457095,0.509176,0.186574,0.306808,0.828052,-4.388951,0.771057,0.000000
0.467436,0.524551,0.191839,0.220093,0.704492,-4.269975,0.500967,0.000000
0.478059,0.537168,0.195398,0.136494,0.552791,-4.078257,0.180698,0.000000
0.488901,0.546497,0.197329,0.057404,0.376299,-3.820421,-0.183330,0.000000
0.499894,0.552082,0.197733,-0.015935,0.179066,-3.504533,-0.583224,0.000000
0.510957,0.553552,0.196737,-0.082453,-0.034242,-3.139967,-1.009823,0.000000
0.522006,0.550639,0.194486,-0.141279,-0.258433,-2.737236,-1.452930,0.000000
0.532952,0.543180,0.191141,-0.191764,-0.487907,-2.307797,-1.901593,0.000000
0.543703,0.531127,0.186874,-0.233494,-0.716786,-1.863791,-2.344406,0.000000
0.554167,0.514552,0.181861,-0.266302,-0.939073,-1.417755,-2.769842,0.000000
0.564256,0.493648,0.176281,-0.290274,-1.148811,-0.982273,-3.166577,0.000000
0.573886,0.468722,0.170307,-0.305745,-1.340268,-0.569610,-3.523835,0.000000
0.582981,0.440195,0.164104,-0.313288,-1.508110,-0.191324,-3.831712,0.000000
0.591473,0.408587,0.157823,-0.313697,-1.647579,0.142132,-4.081477,0.000000
0.599308,0.374507,0.151597,-0.307962,-1.754655,0.421759,-4.265859,0.000000
0.606442,0.338638,0.145538,-0.297235,-1.826200,0.640339,-4.379274,0.000000
0.612846,0.301711,0.139732,-0.282790,-1.860072,0.792707,-4.418027,0.000000
0.618508,0.264493,0.134242,-0.265988,-1.855209,0.875929,-4.380448,0.000000
0.623429,0.227761,0.129099,-0.248219,-1.811681,0.889425,-4.266975,0.000000
0.627627,0.192275,0.124310,-0.230863,-1.730704,0.835004,-4.080174,0.000000
0.631134,0.158767,0.119853,-0.215244,-1.614614,0.716808,-3.824698,0.000000
0.633995,0.127903,0.115681,-0.202575,-1.466815,0.541185,-3.507187,0.000000
0.636271,0.100276,0.111723,-0.193924,-1.291679,0.316497,-3.136099,0.000000
0.638031,0.076383,0.107891,-0.190175,-1.094436,0.052854,-2.721495,0.000000
0.639354,0.056607,0.104079,-0.191993,-0.881016,-0.238210,-2.274766,0.000000
