q_1,dq_1,ddq_1,output_1
0.042386,2.365270,-7.552343,-1.234718
0.088055,2.195501,-9.399615,-1.433120
0.129970,1.990446,-11.073024,-1.611718
0.167464,1.754033,-12.528852,-1.764649
0.199954,1.490977,-13.732117,-1.887230
0.226960,1.206604,-14.657340,-1.976096
0.248114,0.906643,-15.288893,-2.029270
0.263162,0.597048,-15.620920,-2.046188
0.271971,0.283783,-15.656935,-2.027667
0.274528,-0.027336,-15.409129,-1.975819
0.270929,-0.330822,-14.897443,-1.893915
0.261379,-0.621651,-14.148482,-1.786217
0.246177,-0.895392,-13.194267,-1.657765
0.225703,-1.148294,-12.070926,-1.514149
0.200404,-1.377360,-10.817262,-1.361257
0.170782,-1.580383,-9.473333,-1.205028
0.137372,-1.755957,-8.078977,-1.051200
0.100731,-1.903461,-6.672402,-0.905082
0.061420,-2.023007,-5.288833,-0.771344
0.019992,-2.115375,-3.959292,-0.653840
-0.023022,-2.181913,-2.709569,-0.555471
-0.067124,-2.224423,-1.559413,-0.478092
-0.111853,-2.245042,-0.521999,-0.422458
-0.156795,-2.246099,0.396292,-0.388228
-0.201583,-2.229983,1.195789,-0.374007
-0.245896,-2.199016,1.883126,-0.377438
-0.289459,-2.155326,2.470545,-0.395333
-0.332036,-2.100748,2.974960,-0.423833
-0.373426,-2.036745,3.416809,-0.458604
-0.413450,-1.964343,3.818737,-0.495040
-0.451947,-1.884107,4.204281,-0.528491
-0.488763,-1.796127,4.596472,-0.554474
-0.523740,-1.700055,5.016487,-0.568891
-0.556706,-1.595159,5.482462,-0.568217
-0.587479,-1.480366,6.008499,-0.549671
-0.615847,-1.354357,6.603732,-0.511352
-0.641569,-1.215717,7.271773,-0.452330
-0.664381,-1.063014,8.010368,-0.372705
-0.683987,-0.894893,8.811285,-0.273616
-0.700067,-0.710238,9.660465,-0.157199
-0.712281,-0.508279,10.538462,-0.026510
-0.720280,-0.288670,11.421041,0.114599
-0.723711,-0.051594,12.280017,0.261636
-0.722232,0.202167,13.084268,0.409665
-0.715523,0.471192,13.800845,0.553509
-0.703297,0.753393,14.396261,0.687984
-0.685317,1.046017,14.837802,0.808124
-0.661409,1.345674,15.094934,0.909411
-0.631470,1.648405,15.140727,0.987985
-0.595482,1.949748,14.953240,1.040831
-0.553521,2.244872,14.516885,1.065946
-0.505762,2.528712,13.823639,1.062447
-0.452482,2.796108,12.874089,1.030658
-0.394061,3.042026,11.678180,0.972133
-0.330976,3.261723,10.255616,0.889635
-0.263796,3.450934,8.635819,0.787070
-0.193166,3.606094,6.857333,0.669361
-0.119797,3.724479,4.966737,0.542292
-0.044444,3.804368,3.016966,0.412299
0.032116,3.845144,1.065207,0.286240
0.109105,3.847357,-0.829581,0.171134
0.185765,3.812729,-2.609306,0.073892
0.261387,3.744116,-4.219400,0.001040
0.335329,3.645410,-5.611279,-0.041549
0.407035,3.521391,-6.744480,-0.048908
0.476052,3.377562,-7.588327,-0.017199
0.542045,3.219919,-8.123108,0.056101
0.604799,3.054756,-8.340695,0.172055
0.664227,2.888387,-8.244675,0.330173
0.720367,2.726956,-7.850011,0.528379
0.773377,2.576211,-7.182328,0.763030
0.823521,2.441256,-6.276775,1.028999
0.871161,2.326434,-5.176730,1.319810
0.916736,2.235151,-3.932170,1.627833
0.960740,2.169749,-2.597825,1.944521
1.003706,2.131453,-1.231299,2.260692
1.046180,2.120320,0.108997,2.566833
1.088694,2.135255,1.365982,2.853439
1.131749,2.174047,2.485930,3.111344
1.175793,2.233453,3.420473,3.332060
1.221197,2.309350,4.128429,3.508096
1.268244,2.396867,4.577331,3.633246
1.317113,2.490562,4.744683,3.702851
1.367870,2.584691,4.618790,3.713995
1.420465,2.673363,4.199162,3.665656
1.474729,2.750768,3.496469,3.558794
1.530383,2.811462,2.532033,3.396363
1.587043,2.850512,1.336937,3.183260
1.644231,2.863671,-0.049238,2.926205
1.701394,2.847573,-1.579923,2.633552
1.757923,2.799852,-3.203254,2.315038
1.813169,2.719195,-4.863870,1.981483
1.866469,2.605429,-6.504718,1.644443
1.917171,2.459518,-8.068792,1.315831
1.964650,2.283553,-9.500877,1.007517
2.008334,2.080709,-10.749114,0.730922
2.047727,1.855133,-11.766465,0.496622
2.082422,1.611858,-12.512120,0.313967
2.112121,1.356680,-12.952710,0.190742
2.136652,1.095958,-13.063379,0.132868
2.155968,0.836448,-12.828716,0.144167
2.170164,0.585141,-12.243458,0.226190
2.179475,0.349022,-11.312936,0.378121
2.184271,0.134825,-10.053293,0.596758
2.185057,-0.051098,-8.491351,0.876576
2.182454,-0.203058,-6.664198,1.209870
2.177193,-0.316206,-4.618405,1.586970
2.170091,-0.386702,-2.408907,1.996531
2.162028,-0.411882,-0.097549,2.425882
2.153927,-0.390371,2.248736,2.861420
2.146724,-0.322166,4.559985,3.289054
2.141342,-0.208675,6.765594,3.694654
2.138661,-0.052708,8.796822,4.064527
2.139490,0.141603,10.589362,4.385872
2.144545,0.368896,12.085960,4.647216
2.154423,0.622743,13.238721,4.838813
2.169584,0.895903,14.011193,4.952991
2.190336,1.180500,14.379991,4.984430
2.216825,1.468343,14.335821,4.930376
2.249036,1.751215,13.883946,4.790760
2.286787,2.021113,13.043958,4.568239
2.329744,2.270597,11.848985,4.268142
2.377431,2.493009,10.344311,3.898332
2.429245,2.682679,8.585539,3.468977
2.484488,2.835154,6.636582,2.992249
2.542383,2.947335,4.567355,2.481945
2.602103,3.017537,2.451370,1.953061
2.662801,3.045578,0.363625,1.421312
2.723653,3.032766,-1.621501,0.902631
2.783860,2.981874,-3.432469,0.412651
2.842701,2.897075,-5.002254,-0.033806
2.899552,2.783805,-6.270040,-0.423217
2.953908,2.648637,-7.182945,-0.743811
3.005402,2.499137,-7.697427,-0.985967
3.053833,2.343628,-7.780504,-1.142544
3.099167,2.190943,-7.410890,-1.209138
3.141551,2.050255,-6.579800,-1.184241
-3.101866,1.930807,-5.291310,-1.069319
-3.064201,1.841555,-3.562500,-0.868787
-3.027946,1.791038,-1.423024,-0.589886
-2.992248,1.787094,1.085666,-0.242470
-2.956105,1.836590,3.911410,0.161289
-2.918390,1.945259,6.992949,0.607287
-2.877870,2.117553,10.261628,1.079924
-2.833243,2.356479,13.643121,1.562601
-2.783158,2.663512,17.059335,2.038249
-2.726249,3.038550,20.429972,2.489881
-2.661173,3.479866,23.673584,2.901133
-2.586635,3.984101,26.708295,3.256805
-2.501422,4.546257,29.451655,3.543349
-2.404442,5.159668,31.819719,3.749321
-2.294750,5.815966,33.725729,3.865757
-2.171584,6.505012,35.078476,3.886473
-2.034411,7.214775,35.781263,3.808284
-1.882949,7.931257,35.732729,3.631113
-1.717221,8.638389,34.830650,3.358010
-1.537595,9.318154,32.980271,2.995071
-1.344809,9.950811,30.107879,2.551249
-1.140017,10.515392,26.178956,2.038083
-0.924787,10.991046,21.218344,1.469338
-0.701099,11.357962,15.327632,0.860569
-0.471309,11.599172,8.693949,0.228632
-0.238054,11.702498,1.584139,-0.408849
-0.004171,11.661541,-5.676504,-1.034046
0.227447,11.476763,-12.739493,-1.629490
0.453988,11.155479,-19.273849,-2.178631
0.672845,10.711201,-25.002679,-2.666365
0.881736,10.162090,-29.728078,-3.079517
1.078772,9.529504,-33.339775,-3.407262
1.262511,8.836129,-35.809570,-3.641469
1.431963,8.104488,-37.175802,-3.776962
1.586579,7.355888,-37.523972,-3.811681
1.726214,6.609562,-36.968232,-3.746754
1.851088,5.882332,-35.636656,-3.586450
1.961731,5.188387,-33.661147,-3.338046
2.058924,4.539309,-31.171602,-3.011594
2.143662,3.944120,-28.293018,-2.619590
2.217094,3.409384,-25.144632,-2.176581
2.280469,2.939368,-21.839881,-1.698692
2.335112,2.536115,-18.486316,-1.203115
2.382360,2.199559,-15.185615,-0.707553
2.423526,1.927693,-12.033048,-0.229662
2.459873,1.716664,-9.116400,0.213519
2.492562,1.560932,-6.514940,0.606101
2.522632,1.453497,-4.298002,0.933855
2.550969,1.386061,-2.523548,1.184657
2.578279,1.349297,-1.237028,1.348869
2.605078,1.333112,-0.470322,1.419638
2.631670,1.326897,-0.241111,1.393106
2.658148,1.319858,-0.552640,1.268524
2.684387,1.301259,-1.393890,1.048264
2.710052,1.260731,-2.740210,0.737733
2.734605,1.188531,-4.554339,0.345189
