t,q_1,dq_1,q2,dq2,ddq1,ddq2,output_1,output_2,mass_matrix_11,mass_matrix_12,mass_matrix_22
0.840000,0.085090,1.179634,0.436191,-8.383377,4.574624,-13.818193,-1.228651,0.000000,2.500000,0.271910,0.180000
0.860000,0.109498,1.255693,0.266052,-8.614427,2.930384,-9.010955,-1.135575,0.000000,2.500000,0.289445,0.180000
0.880000,0.135061,1.293423,0.092357,-8.734321,0.780025,-2.802395,-0.997801,0.000000,2.500000,0.298721,0.180000
0.900000,0.160930,1.285691,-0.082441,-8.723057,-1.547729,3.917178,-0.818357,0.000000,2.500000,0.298981,0.180000
0.920000,0.186188,1.233131,-0.255695,-8.581957,-3.636628,9.999193,-0.601128,0.000000,2.500000,0.290246,0.180000
0.940000,0.210010,1.143970,-0.424999,-8.333155,-5.171648,14.594054,-0.350761,0.000000,2.500000,0.273312,0.180000
0.960000,0.231786,1.030714,-0.588525,-8.009855,-6.045372,17.456952,-0.072570,0.000000,2.500000,0.249528,0.180000
0.980000,0.251164,0.906129,-0.745117,-7.644816,-6.325598,18.835192,0.227575,0.000000,2.500000,0.220503,0.180000
1.000000,0.268026,0.780664,-0.894210,-7.263352,-6.159667,19.176306,0.543374,0.000000,2.500000,0.187841,0.180000
1.020000,0.282434,0.661705,-1.035652,-6.881807,-5.698351,18.907457,0.868226,0.000000,2.500000,0.152990,0.180000
1.040000,0.294569,0.553889,-1.169541,-6.508975,-5.061926,18.346439,1.195366,0.000000,2.500000,0.117172,0.180000
1.060000,0.304682,0.459823,-1.296094,-6.148521,-4.335283,17.696956,1.518000,0.000000,2.500000,0.081378,0.180000
1.080000,0.313062,0.380700,-1.415568,-5.800903,-3.574505,17.074477,1.829441,0.000000,2.500000,0.046382,0.180000
1.100000,0.320012,0.316825,-1.528209,-5.464977,-2.815845,16.534982,2.123246,0.000000,2.500000,0.012772,0.180000
1.120000,0.325835,0.267897,-1.634232,-5.138828,-2.082741,16.097061,2.393343,0.000000,2.500000,-0.019018,0.180000
1.140000,0.330823,0.233238,-1.733813,-4.820435,-1.390889,15.757008,2.634146,0.000000,2.500000,-0.048689,0.180000
1.160000,0.335253,0.211912,-1.827089,-4.508000,-0.751267,15.498544,2.840666,0.000000,2.500000,-0.076049,0.180000
1.180000,0.339381,0.202787,-1.914163,-4.200101,-0.171814,15.299187,3.008606,0.000000,2.500000,-0.100998,0.180000
1.200000,0.343437,0.204599,-1.995117,-3.895802,0.341726,15.134542,3.134439,0.000000,2.500000,-0.123511,0.180000
1.220000,0.347628,0.215991,-2.070016,-3.594642,0.785517,14.981349,3.215477,0.000000,2.500000,-0.143622,0.180000
1.240000,0.352131,0.235542,-2.138923,-3.296603,1.157569,14.819639,3.249911,0.000000,2.500000,-0.161416,0.180000
1.260000,0.357095,0.261812,-2.201903,-3.002020,1.457764,14.634140,3.236845,0.000000,2.500000,-0.177012,0.180000
